coint_pvalue_gate,entry,exit_ratio,fold_0_fees_slippage,fold_0_max_dd_pct,fold_0_max_dd_usd,fold_0_pnl,fold_0_round_trips,fold_0_sharpe,fold_0_trades,fold_0_turnover,fold_0_win_rate,fold_1_fees_slippage,fold_1_max_dd_pct,fold_1_max_dd_usd,fold_1_pnl,fold_1_round_trips,fold_1_sharpe,fold_1_trades,fold_1_turnover,fold_1_win_rate,fold_2_fees_slippage,fold_2_max_dd_pct,fold_2_max_dd_usd,fold_2_pnl,fold_2_round_trips,fold_2_sharpe,fold_2_trades,fold_2_turnover,fold_2_win_rate,fold_3_fees_slippage,fold_3_max_dd_pct,fold_3_max_dd_usd,fold_3_pnl,fold_3_round_trips,fold_3_sharpe,fold_3_trades,fold_3_turnover,fold_3_win_rate,fold_4_fees_slippage,fold_4_max_dd_pct,fold_4_max_dd_usd,fold_4_pnl,fold_4_round_trips,fold_4_sharpe,fold_4_trades,fold_4_turnover,fold_4_win_rate,half_life_max_bars,half_life_min_bars,in_sample_pnl,in_sample_sharpe,kalman_delta,kalman_obs_var,max_holding_half_lives,median_oos_sharpe,min_edge_cost_multiple,min_oos_sharpe,ofi_threshold,stop_ratio,trial_id
0.1000000000,2.0000000000,0.2500000000,3429.3198388672,7.2869079716,72869.0797155761,-71505.6100000000,4,-1.3827479984,16,8.0042592740,0.0000000000,4369.6403027344,23.4240780007,234240.7800073242,60313.9200000000,6,0.1766642818,24,11.7786849669,0.6666666667,2544.4598217773,20.1472165038,201472.1650378419,-124537.8300000000,5,-0.5360059700,20,9.7373117840,0.4000000000,1935.9752221680,6.9676549863,69676.5498632813,-20438.8450341797,4,-0.2628044957,18,8.7283655505,0.2500000000,1050.9653271484,5.8582665002,58582.6650024414,3215.6550341797,4,0.0310372137,14,6.6551115386,0.5000000000,30.0000000000,1.0000000000,-341277.9900000000,-0.2946913939,0.0000100000,0.0000010000,2.0000000000,-0.2628044957,,-1.3827479984,,2.0000000000,0
0.0504107750,2.2739233746,0.0245841144,1659.3500476074,5.4376984969,54376.9849694824,-41062.2700000000,2,-0.8341175727,8,3.9820316533,0.5000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,553.1502014160,11.8981600067,118981.6000671387,-111116.8500000000,1,-0.7164447344,4,2.0064931657,0.0000000000,387.1699487305,7.0484995103,70484.9951025391,-30603.1600000000,1,-0.4472196311,4,2.0176299122,0.0000000000,553.1500854492,8.3424100117,83424.1001171875,-9102.0000000000,2,-0.0895818288,8,3.7104302979,0.5000000000,38.3649676672,2.7818889432,-176746.2200000000,-0.3490637220,0.0000001164,0.0000179094,3.1884896830,-0.4472196311,1.6308749744,-0.8341175727,0.6526828433,1.9046800706,1
0.1505936622,2.7148085532,0.4377932679,1659.3496899414,1.4365439941,14365.4399414062,17497.5200000000,2,0.4861784988,8,3.9591120932,1.0000000000,1382.8003857422,12.3472780051,123472.7800512696,-49367.7800000000,2,-0.3157491591,8,3.7351410979,0.5000000000,553.1499194336,7.6577410309,76577.4103088379,-74703.4200000000,1,-0.8805058831,4,1.9876001009,0.0000000000,774.3901855469,3.2743749941,32743.7499414063,-21526.4500000000,2,-0.3678111803,8,3.9060430522,0.5000000000,553.1501171875,2.6682980103,26682.9801025391,23622.7200000000,2,0.5300895148,8,3.6933412413,0.5000000000,21.4841539796,1.8536530506,-104477.4100000000,-0.2175011122,0.0000005042,0.0000283606,2.2680616636,-0.3157491591,0.0849590134,-0.8805058831,,1.5503783630,2
0.1582232510,2.2943790231,0.2302065326,2489.0500000000,11.2522940029,112522.9400292969,-100298.0500000000,3,-1.5422990964,12,5.9609519292,0.3333333333,2157.0901220703,24.8130155190,248130.1551904298,-150136.0900000000,3,-0.5540170737,12,6.0398833485,0.3333333333,1106.2500781250,10.0667099915,100667.0999145508,141006.0800000000,2,0.6671696798,8,3.9053375550,0.5000000000,1935.9252880859,7.8814544922,78814.5449218750,-38142.6650341797,4,-0.3169410271,18,8.8649492866,0.2500000000,719.1048535156,6.3116065002,63116.0650024414,-39469.0949658203,3,-0.3414384904,10,4.6223282920,0.3333333333,40.7752601947,2.2138549612,-219657.1200000000,-0.2128458537,0.0009746299,0.0000838188,3.0653401917,-0.3414384904,1.1667642719,-1.5422990964,,2.4230776672,3
0.1835411528,2.0507086450,0.2915012153,1825.2800103760,3.0397519824,30397.5198236085,-21239.9100000000,2,-0.5671947283,8,4.0700471201,0.0000000000,3650.5606958008,23.4240780007,234240.7800073243,6350.3400000000,5,0.0185363541,20,9.8637362956,0.6000000000,2101.8799194336,10.2286895038,102286.8950378419,75247.3500000000,4,0.3975591042,16,7.8109447139,0.5000000000,1770.0949316406,6.9676549863,69676.5498632812,-3960.8250341797,4,-0.0364734306,18,8.5581183556,0.5000000000,774.3651806641,4.8934359863,48934.3598632812,-5501.3949658203,3,-0.0842150968,10,4.9088300932,0.3333333333,36.4341406901,1.3944879918,-121260.4100000000,-0.1107680377,0.0003613694,0.0000544721,1.9656081732,-0.0364734306,1.7829000906,-0.5671947283,0.3132952004,1.9653628133,4
0.1175509050,1.4543151871,0.0504092061,4978.0500543213,1.6856390089,16856.3900885010,55414.2400000000,6,1.1616353620,24,11.9982263496,0.6666666667,4093.0404583740,12.8742521548,128742.5215484620,-14656.1800000000,6,-0.0930320534,24,11.1264249910,0.5000000000,4093.1896362305,15.2568509814,152568.5098144532,-79787.7500000000,8,-0.3789651248,32,15.6119468710,0.6250000000,3097.5599365234,7.3026240000,73026.2400000000,92957.7500000000,7,0.7156726450,28,13.5740080926,0.8571428571,1493.5198779297,8.5007350117,85007.3501171875,-34132.2700000000,5,-0.3522356905,20,9.3937646890,0.4000000000,53.2066326946,1.0984236075,103716.2400000000,0.1301614561,0.0002140802,0.0000140732,1.1757041044,-0.0930320534,1.0083511816,-0.3789651248,,2.4347807170,5
0.1913169666,2.5926485406,0.0312127806,3152.7698181152,9.5721240029,95721.2400292970,-83997.8000000000,4,-1.5688166266,16,7.5906855288,0.0000000000,2599.6202465820,16.2586600205,162586.6002050781,-70930.1800000000,4,-0.3139390573,16,7.0302604721,0.2500000000,553.1499060059,7.6577410309,76577.4103088379,-36508.0900000000,1,-0.2735851474,4,1.9678198205,0.0000000000,940.3450415039,9.2153514961,92153.5149609374,-2144.0250341797,2,-0.0208488982,10,4.7964283392,0.5000000000,719.1049462891,5.4495199890,54495.1998901367,-17976.6249658203,3,-0.1450373543,10,4.6111991389,0.6666666667,36.9182812293,0.7268826140,-409293.7500000000,-0.4362576753,0.0000041515,0.0000000622,1.8960883985,-0.2735851474,2.0159846339,-1.5688166266,,1.8459633135,6
0.1190067709,1.7302203365,0.3774648909,1659.3500183105,2.4175510029,24175.5100292969,-9135.0500000000,2,-0.4397317669,8,4.0162057141,0.5000000000,0.0000000000,-0.0000000000,-0.0000000000,0.0000000000,0,0.0000000000,0,0.0000000000,0.0000000000,1604.0398474121,9.3987505038,93987.5050378419,-64507.5400000000,3,-0.5029658910,12,5.9959494000,0.3333333333,1604.0651196289,7.1306519988,71306.5199877929,-21361.1650341797,3,-0.2612978359,14,6.8531546129,0.3333333333,442.5549609375,8.0337445061,80337.4450610352,-72831.1849658203,2,-1.0686549111,6,2.6816902218,0.0000000000,32.4942697528,2.8864762342,-207274.4100000000,-0.4925332293,0.0005112322,0.0000005774,2.2756858745,-0.4397317669,1.8606403560,-1.0686549111,0.7591549400,1.6582429194,7
0.1951889285,2.5154576906,0.3175872961,2489.0495532227,4.4096430039,44096.4300390625,-25056.8200000000,3,-0.5768159327,12,5.9219080561,0.6666666667,1382.7499755859,7.0671169839,70671.1698388673,-68909.1500000000,2,-0.8368912794,8,4.0487574216,0.0000000000,553.1499328613,7.6577410309,76577.4103088379,-65745.0000000000,1,-0.5739488208,4,1.9829310883,0.0000000000,1382.8251831055,9.0136764922,90136.7649218750,-49685.9850341797,3,-0.4654067983,14,6.8160974799,0.3333333333,995.6549389648,3.9948694829,39948.6948291016,-14576.9949658203,4,-0.2069646600,14,6.5270803565,0.5000000000,44.1128582894,2.3362089295,-141089.3000000000,-0.2452833553,0.0001390410,0.0000004556,3.7961790598,-0.5739488208,0.3447978998,-0.8368912794,0.7419391429,2.2461340432,8
0.1702820868,1.0294126099,0.5887170240,8407.3697583008,2.2446065024,22446.0650244141,82902.0700000000,10,1.0910219807,40,20.0379839444,0.5000000000,663.7700476074,0.2755076576,2755.0765759277,21815.5600000000,1,0.9424429438,4,1.9923701820,1.0000000000,4148.4998071289,12.9128759890,129128.7598901368,-40263.2600000000,8,-0.1772316531,32,15.7716795290,0.5000000000,4591.0043432617,10.1784059988,101784.0599877930,5682.9749658203,10,0.0360252915,42,20.5574726868,0.3000000000,1659.4245556641,10.2607060398,102607.0603979492,-78045.2448559570,6,-0.5698541070,22,10.5820022351,0.1666666667,53.9464555646,2.9315720346,1410.9001098633,0.0017410547,0.0006742807,0.0000000394,3.4671214826,0.0360252915,1.4399637714,-0.5698541070,,2.7954601354,9
